officer_id,officer_name,branch_code,officer_role,hire_date
OFC2000,Lisa Green,BR1072,credit officer,2025-02-04
OFC2001,Duane Dixon,BR1051,Credit Officer,2017-09-27
OFC2002,Laura Price,BR1078,Branch Manager,30/03/2024
OFC2003,Derek Osborn,BR1043,credit officer,2013-02-04
OFC2004,Bryce Hale,BXN164,,27/07/2013
OFC2005,Kenneth Cooper,BR1082,Relationship Manager,27/10/2024
OFC2006,Mary Mejia,BR1045,Relationship Manager,2013-06-21
OFC2007,Michael Kennedy,BR1044,Relationship Manager,19/12/2012
OFC2008,Crystal Cortez,BR1067,credit officer,06/10/2019
OFC2009,Tara Rodriguez,BR1038,credit officer,2025-07-09
OFC2010,Ann Brown,BR1012,credit officer,2016-07-28
OFC2011,Jared Jones,BR1035,Branch Manager,2014-04-10
OFC2012,David Gilmore,BR1001,Branch Manager,20/05/2021
OFC2013,Rebecca Farley,BR1055,,16/08/2021
OFC2014,Justin Lewis,BR1051,Credit Officer,19/06/2016
OFC2015,Patrick Nichols,BR1069,Branch Manager,11/11/2018
OFC2016,Jerry Barrett,BR1062,credit officer,2024-10-14
OFC2017,John Oconnor,BR1049,credit officer,20/09/2021
OFC2018,Anne Jackson,BR1078,Branch Manager,2020-07-04
OFC2019,Robert Romero,BR1076,Branch Manager,08/12/2015
OFC2020,Todd Diaz,BR1056,,17/12/2015
OFC2021,Alyssa Johnson,BR1072,Credit Officer,2024-11-28
OFC2022,Vincent Mckenzie,BR1049,Branch Manager,28/11/2011
OFC2023,Tiffany Blair,BR1084,Branch Manager,2021-01-02
OFC2024,Lance Espinoza,BR1044,Branch Manager,2015-01-06
OFC2025,Tim Hinton,BXN115,credit officer,2020-08-11
OFC2026,Kenneth White MD,BR1021,Credit Officer,03/11/2024
OFC2027,Allen Johnson,BR1073,Branch Manager,08/12/2013
OFC2028,Tonya Henry,BR1045,Credit Officer,25/05/2019
OFC2029,Sandra Henderson,BR1017,Relationship Manager,10/03/2024
OFC2030,Lisa Whitehead,BR1054,Credit Officer,26/01/2012
OFC2031,Julia Baxter,BR1075,Credit Officer,09/01/2013
OFC2032,Justin Adams,BXW129,Relationship Manager,2015-09-15
OFC2033,Tracy Richardson,BR1061,Credit Officer,15/04/2023
OFC2034,Christopher Adams,BR1002,Credit Officer,2014-09-04
OFC2035,Gerald Banks,BR1007,Branch Manager,03/05/2019
OFC2036,Nicole Trevino,BR1059,Branch Manager,02/03/2014
OFC2037,Amanda Mann,BR1068,Credit Officer,2022-08-19
OFC2038,Maria Lewis,BR1065,Branch Manager,2017-02-04
OFC2039,Eric Rodriguez,BR1074,Credit Officer,2016-04-23
OFC2040,Mark Marshall,BR1022,,2015-01-05
OFC2041,James Anderson,BR1035,Branch Manager,29/05/2022
OFC2042,Kevin Taylor,BR1006,,2017-06-11
OFC2043,Marcus Allen,BR1066,Relationship Manager,20/02/2023
OFC2044,Jon Miller,BR1081,credit officer,10/04/2016
OFC2045,Courtney Klein,BXW131,Credit Officer,19/02/2017
OFC2046,Veronica Gonzalez,BR1057,credit officer,28/01/2012
OFC2047,Steven Rodriguez,BR1075,credit officer,2019-04-01
OFC2048,Laurie Villa,BR1047,Relationship Manager,2020-01-06
OFC2049,Kelly Krause,BR1081,credit officer,2013-11-15
OFC2050,Michael Villanueva,BR1036,,05/01/2019
OFC2051,Jason Lang,BR1033,Branch Manager,19/06/2024
OFC2052,Charles Warren,BR1046,Branch Manager,2021-11-07
OFC2053,Alan Phelps,BR1003,Credit Officer,2017-03-31
OFC2054,Scott Ware,BR1071,Relationship Manager,2012-02-14
OFC2055,Crystal Brown,BR1054,Credit Officer,2020-03-15
OFC2056,Eric Carter,BR1054,Relationship Manager,16/09/2017
OFC2057,Russell Stewart,BXW131,Branch Manager,01/06/2024
OFC2058,Evan Byrd,BR1030,Credit Officer,21/09/2015
OFC2059,Matthew Howard,BR1062,,30/03/2025
OFC2060,Lori Smith,BR1023,credit officer,30/07/2018
OFC2061,Samuel Cline,BR1052,Relationship Manager,2024-08-22
OFC2062,Amy Newton,BR1003,Credit Officer,2022-03-19
OFC2063,Eric Santiago,BR1021,Credit Officer,09/09/2023
OFC2064,Lauren Smith,BR1062,Branch Manager,31/10/2023
OFC2065,Mr. Matthew Ayers,BR1065,Credit Officer,16/10/2016
OFC2066,Angela Cooke,BR1054,,2018-12-29
OFC2067,Janet Heath,BR1078,credit officer,2024-04-01
OFC2068,Jacob Maldonado,BR1017,Branch Manager,25/03/2023
OFC2069,Paul Malone,BR1023,Credit Officer,2022-01-30
OFC2070,Jennifer Cohen,BR1071,Branch Manager,14/09/2023
OFC2071,Connor Greene,BR1014,Branch Manager,02/05/2023
OFC2072,Anna Kennedy,BR1001,Relationship Manager,22/05/2014
OFC2073,Daniel Kelley,BR1034,credit officer,2014-01-17
OFC2074,Paula Wood,BR1052,Branch Manager,16/01/2020
OFC2075,Caitlin Anderson,BR1022,Credit Officer,17/11/2016
OFC2076,Andrew Richards,BR1023,Credit Officer,2012-12-05
OFC2077,Tammy Watkins,BR1055,credit officer,2017-06-21
OFC2078,Michele Garza,BR1050,Relationship Manager,2023-07-11
OFC2079,Willie Martinez,BR1039,Credit Officer,24/09/2013
OFC2080,Gregory Little,BR1039,Relationship Manager,11/11/2014
OFC2081,Anthony Allison,BXW131,,18/03/2020
OFC2082,Shelia Holmes,BR1050,Credit Officer,2018-06-08
OFC2083,Keith Moore,BR1003,Credit Officer,2015-05-21
OFC2084,Patrick Holloway,BR1017,Branch Manager,27/03/2018
OFC2085,Holly Mccarty,BR1014,credit officer,11/08/2021
OFC2086,Kerri Perez,BR1079,Relationship Manager,2012-07-12
OFC2087,Kevin Scott,BR1067,Relationship Manager,08/06/2017
OFC2088,Mr. Brian Reese PhD,BR1011,Branch Manager,2025-07-19
OFC2089,Ashley Monroe,BR1055,credit officer,01/10/2015
OFC2090,Francisco Jenkins,BR1050,Credit Officer,2019-03-01
OFC2091,William Evans,BR1026,Credit Officer,2017-09-19
OFC2092,Brian Pruitt,BR1050,credit officer,2021-12-27
OFC2093,Cody Anderson,BR1012,,2018-07-19
OFC2094,Latoya Horne,BR1067,,07/10/2023
OFC2095,Garrett Morrison,BXE177,,2012-04-25
OFC2096,Jacob Donaldson,BR1021,Branch Manager,28/12/2012
OFC2097,Leah Hawkins,BR1017,Credit Officer,2022-06-10
OFC2098,Taylor Brooks,BR1009,Credit Officer,02/08/2022
OFC2099,Erin Watson,BR1034,credit officer,18/04/2024
OFC2100,Marc Sawyer,BXW118,,2012-03-13
OFC2101,Heather Brown,BR1058,Credit Officer,20/05/2018
OFC2102,Margaret Blevins,BR1058,credit officer,22/06/2025
OFC2103,Ashley Ramsey,BR1032,Branch Manager,2012-06-27
OFC2104,William Castro,BXN115,Relationship Manager,21/08/2013
OFC2105,John Palmer,BR1007,,2020-10-23
OFC2106,Karen Browning,BR1038,Branch Manager,2018-01-04
OFC2107,Tammy Fernandez,BR1056,credit officer,2016-08-22
OFC2108,Jennifer Mooney,BR1055,Branch Manager,2017-09-23
OFC2109,Stacy Warren,BR1003,Branch Manager,21/02/2024
OFC2110,Louis Stein,BR1040,Branch Manager,13/08/2020
OFC2111,Erica Ramirez,BR1003,Branch Manager,10/11/2017
OFC2112,Mr. Thomas Blair,BR1045,Credit Officer,2012-12-02
OFC2113,Kelly Hall,BR1080,Credit Officer,05/01/2015
OFC2114,Mark Williamson,BXN164,credit officer,2018-03-28
OFC2115,Mike Anderson,BR1043,credit officer,2022-12-08
OFC2116,Crystal Hodge,BR1072,credit officer,20/09/2024
OFC2117,Gary Harvey,BR1030,,2024-03-03
OFC2118,Jodi Hayes,BR1074,Relationship Manager,2017-03-02
OFC2119,Laurie Smith,BR1050,credit officer,2020-05-02
OFC2120,Karen Dunn,BR1055,credit officer,08/01/2024
OFC2121,David Howard,BR1079,Branch Manager,2018-07-05
OFC2122,Barry Harris,BR1005,Credit Officer,2024-12-23
OFC2123,Melissa Clarke,BR1048,,30/08/2018
OFC2124,Stephanie Thomas,BR1001,Relationship Manager,26/06/2025
OFC2125,Blake Stephens,BR1047,credit officer,26/05/2017
OFC2126,Lawrence Hill,BR1051,,2016-06-06
OFC2127,Hector Parrish,BR1053,,30/12/2023
OFC2128,Brenda Mcmahon,BR1055,Relationship Manager,2016-01-17
OFC2129,Susan Graham,BR1076,Credit Officer,2021-03-02
OFC2130,Dennis Barnes PhD,BR1011,credit officer,14/09/2022
OFC2131,Jonathon Tran,BR1025,Branch Manager,03/01/2021
OFC2132,Erika Garcia,BR1034,Relationship Manager,12/11/2014
OFC2133,Christine Brown,BR1070,Relationship Manager,07/01/2021
OFC2134,Katherine Pierce,BR1016,,30/01/2019
OFC2135,Joe Davis,BR1045,,2023-12-30
OFC2136,Phillip Roberts,BR1020,credit officer,2015-07-01
OFC2137,Brandy Hanson,BR1054,credit officer,26/02/2013
OFC2138,William Church,BR1023,Credit Officer,2014-09-12
OFC2139,Michael Nichols,BXN164,,01/03/2023
OFC2140,Angela Cook,BR1017,Relationship Manager,2020-03-01
OFC2141,Amy Williams,BR1016,credit officer,2019-07-05
OFC2142,Nathaniel Jones,BR1083,Relationship Manager,2013-10-26
OFC2143,Aaron Valdez,BR1044,Relationship Manager,2016-01-12
OFC2144,David Keith,BR1049,Credit Officer,2011-12-08
OFC2145,Brett Morris,BR1084,,12/09/2014
OFC2146,Martha Terry,BR1060,,27/10/2011
OFC2147,Carlos Brown,BR1060,Credit Officer,2013-10-14
OFC2148,Matthew Holland,BR1072,Branch Manager,2024-01-14
OFC2149,Sharon Kelly,BR1061,Branch Manager,2020-12-18
OFC2150,Julie Shah,BR1007,Credit Officer,2019-06-24
OFC2151,Anna Alexander,BR1061,Credit Officer,26/10/2023
OFC2152,Cory Brooks,BR1039,Credit Officer,09/04/2023
OFC2153,Matthew Kirby,BR1001,,2017-04-01
OFC2154,Alyssa Contreras,BR1017,Credit Officer,2021-05-30
OFC2155,Alexa Freeman,BR1061,Branch Manager,2011-11-21
OFC2156,Amanda Rodriguez,BR1032,Branch Manager,16/06/2013
OFC2157,Stacey Moore,BR1063,Branch Manager,22/06/2014
OFC2158,Anthony Gonzalez,BR1014,credit officer,08/02/2025
OFC2159,Larry Johnson,BR1083,Credit Officer,2013-04-19
OFC2160,Brianna Jones,BR1005,Branch Manager,2020-06-13
OFC2161,Stacey Williamson,BXE100,Credit Officer,14/11/2019
OFC2162,Anita Lewis,BR1059,credit officer,2011-11-25
OFC2163,Trevor Nelson,BR1069,credit officer,2016-10-04
OFC2164,Scott Morton,BR1073,Relationship Manager,01/06/2020
OFC2165,Terrance Miller,BR1056,,28/06/2012
OFC2166,Tonya Sharp,BR1040,Credit Officer,2017-03-14
OFC2167,Michele Bartlett,BR1070,Relationship Manager,2016-03-21
OFC2168,Jennifer King,BR1023,Relationship Manager,16/03/2017
OFC2169,Susan Ramirez,BR1067,Relationship Manager,2024-03-04
OFC2170,Craig Baker,BR1020,Branch Manager,2020-03-08
OFC2171,Jacqueline Pennington,BR1022,Branch Manager,21/09/2019
OFC2172,Patricia Henderson,BR1006,credit officer,2013-11-21
OFC2173,Brian Lynch,BR1049,Branch Manager,18/10/2017
